temporada,rodada,partida_id,data,mandante,visitante,placar,o_que_falta,tecnico_mandante_atual,tecnico_visitante_atual,formacao_mandante_atual,formacao_visitante_atual,source_url_transfermarkt,campos_disponiveis_transfermarkt,transfermarkt_tecnico_mandante,transfermarkt_tecnico_visitante,transfermarkt_formacao_mandante,transfermarkt_formacao_visitante,onde_procurar,observacao
2013,32,4540,2013-11-03,Goias,Botafogo-RJ,1-0,"formacao_mandante, formacao_visitante",Enderson Moreira,Oswaldo de Oliveira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4542,2013-11-03,Santos,Cruzeiro,0-1,"formacao_mandante, formacao_visitante",Claudinei Oliveira,Marcelo Oliveira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4543,2013-11-03,Vitoria,Corinthians,1-1,"formacao_mandante, formacao_visitante",Ney Franco,Tite,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4544,2013-11-03,Athletico-PR,Internacional,1-0,"formacao_mandante, formacao_visitante",Vagner Mancini,Clemer,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4545,2013-11-03,Criciuma,Ponte Preta,1-1,"formacao_mandante, formacao_visitante",Argel Fuchs,Jorginho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4546,2013-11-03,Flamengo,Fluminense,1-0,"formacao_mandante, formacao_visitante",Jayme de Almeida Filho,Vanderlei Luxemburgo,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4557,2013-11-13,Goias,Ponte Preta,2-0,"formacao_mandante, formacao_visitante",Enderson Moreira,Jorginho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4559,2013-11-13,Botafogo-RJ,Portuguesa,0-0,"formacao_mandante, formacao_visitante",Oswaldo de Oliveira,Guto Ferreira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4560,2013-11-13,Criciuma,Athletico-PR,2-1,"formacao_mandante, formacao_visitante",Argel Fuchs,Vagner Mancini,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4561,2013-11-13,Coritiba,Corinthians,0-1,"formacao_mandante, formacao_visitante",Péricles Chamusca,Tite,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
